"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 27 17:07:38 IST 2025","Mon Oct 27 17:07:40 IST 2025","2413","External APIs Test Suite","Authentication and Merchant Flow","com.externalAPIs.tests.common.UpdateMerchantTests","com.externalAPIs.tests.common.UpdateMerchantTests","updateMerchant","updateMerchant","Validates updating merchant information and verifying that updated values persist correctly."
"passed","Mon Oct 27 17:07:23 IST 2025","Mon Oct 27 17:07:26 IST 2025","3087","External APIs Test Suite","Authentication and Merchant Flow","com.externalAPIs.tests.common.CreateClientProfileTests","com.externalAPIs.tests.common.CreateClientProfileTests","createClientProfile","createClientProfile","Ensures that a client profile can be created successfully, including dynamic merchant, location, and organization references."
"passed","Mon Oct 27 17:07:13 IST 2025","Mon Oct 27 17:07:16 IST 2025","3816","External APIs Test Suite","Authentication and Merchant Flow","com.externalAPIs.tests.common.CreateLocationTests","com.externalAPIs.tests.common.CreateLocationTests","createLocation","createLocation","Verifies that a new location can be created successfully, with full error handling for all HTTP status codes."
"passed","Mon Oct 27 17:07:42 IST 2025","Mon Oct 27 17:07:44 IST 2025","1944","External APIs Test Suite","Authentication and Merchant Flow","com.externalAPIs.tests.Charge.CreatePaymentTokenSessionTests","com.externalAPIs.tests.Charge.CreatePaymentTokenSessionTests","createPaymentTokenSession","createPaymentTokenSession","Validates creation of a consumer payment token session using Glofox Client Token and organization context."
"passed","Mon Oct 27 17:07:44 IST 2025","Mon Oct 27 17:07:46 IST 2025","1929","External APIs Test Suite","Authentication and Merchant Flow","com.externalAPIs.tests.Charge.CreateAchPaymentChargeTests","com.externalAPIs.tests.Charge.CreateAchPaymentChargeTests","createAchPaymentCharge","createAchPaymentCharge","Ensures ACH payment charges can be successfully created, validated, and stored for reporting."
"passed","Mon Oct 27 17:07:33 IST 2025","Mon Oct 27 17:07:38 IST 2025","5044","External APIs Test Suite","Authentication and Merchant Flow","com.externalAPIs.tests.common.CreateProcessorTests","com.externalAPIs.tests.common.CreateProcessorTests","createProcessor","createProcessor","Validates that a new payment processor can be created and response data is stored for dependent APIs."
"failed","Mon Oct 27 17:07:48 IST 2025","Mon Oct 27 17:07:50 IST 2025","2203","External APIs Test Suite","Authentication and Merchant Flow","com.externalAPIs.tests.Charge.CreateRefundPaymentTests","com.externalAPIs.tests.Charge.CreateRefundPaymentTests","createRefundPayment","createRefundPayment","Ensures refunds are processed successfully by linking them to previous ACH charge transactions."
"passed","Mon Oct 27 17:07:03 IST 2025","Mon Oct 27 17:07:05 IST 2025","1936","External APIs Test Suite","Authentication and Merchant Flow","com.externalAPIs.tests.auth.Glofox_SecureClientTokenTests","com.externalAPIs.tests.auth.Glofox_SecureClientTokenTests","getGlofoxSecureClientToken","getGlofoxSecureClientToken","Ensures Glofox Secure Client Token can be retrieved using Base64-encoded credentials for secure payment APIs."
"passed","Mon Oct 27 17:07:07 IST 2025","Mon Oct 27 17:07:09 IST 2025","2272","External APIs Test Suite","Authentication and Merchant Flow","com.externalAPIs.tests.common.CreateClientTests","com.externalAPIs.tests.common.CreateClientTests","createClient","createClient","Verifies that a new client can be created successfully and all possible HTTP status codes are handled gracefully."
"passed","Mon Oct 27 17:07:05 IST 2025","Mon Oct 27 17:07:07 IST 2025","2000","External APIs Test Suite","Authentication and Merchant Flow","com.externalAPIs.tests.common.CreateClientTests","com.externalAPIs.tests.common.CreateClientTests","createClient","createClient","Verifies that a new client can be created successfully and all possible HTTP status codes are handled gracefully."
