"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Validates updating merchant information and verifying that updated values persist correctly.","2090","updateMerchant","External APIs Test Suite","2025-10-14","passed","2025-10-14","com.externalAPIs.tests.common.UpdateMerchantTests","Authentication and Merchant Flow","com.externalAPIs.tests.common.UpdateMerchantTests","updateMerchant"
"Verifies merchant creation flow, validates response schema and ensures data persistence for update APIs.","2312","createMerchant","External APIs Test Suite","2025-10-14","passed","2025-10-14","com.externalAPIs.tests.common.CreateMerchantTests","Authentication and Merchant Flow","com.externalAPIs.tests.common.CreateMerchantTests","createMerchant"
"Verifies that a new location can be created successfully, with full error handling for all HTTP status codes.","3906","createLocation","External APIs Test Suite","2025-10-14","passed","2025-10-14","com.externalAPIs.tests.common.CreateLocationTests","Authentication and Merchant Flow","com.externalAPIs.tests.common.CreateLocationTests","createLocation"
"Validates creation of a new terminal with unique terminal number and linked processor details dynamically.","2134","createTerminal","External APIs Test Suite","2025-10-14","passed","2025-10-14","com.externalAPIs.tests.common.CreateTerminalTests","Authentication and Merchant Flow","com.externalAPIs.tests.common.CreateTerminalTests","createTerminal"
"Validates creation of a consumer payment token session using Glofox Client Token and organization context.","3883","createPaymentTokenSession","External APIs Test Suite","2025-10-14","passed","2025-10-14","com.externalAPIs.tests.Charge.CreatePaymentTokenSessionTests","Authentication and Merchant Flow","com.externalAPIs.tests.Charge.CreatePaymentTokenSessionTests","createPaymentTokenSession"
"Validates creation of a payment session consumer and ensures response structure and status validation.","2233","createPaymentSessionConsumer","External APIs Test Suite","2025-10-14","passed","2025-10-14","com.externalAPIs.tests.common.CreatePaymentSessionConsumerTests","Authentication and Merchant Flow","com.externalAPIs.tests.common.CreatePaymentSessionConsumerTests","createPaymentSessionConsumer"
"Ensures ACH payment charges can be successfully created, validated, and stored for reporting.","2017","createAchPaymentCharge","External APIs Test Suite","2025-10-14","passed","2025-10-14","com.externalAPIs.tests.Charge.CreateAchPaymentChargeTests","Authentication and Merchant Flow","com.externalAPIs.tests.Charge.CreateAchPaymentChargeTests","createAchPaymentCharge"
"Ensures Glofox Secure Client Token can be retrieved using Base64-encoded credentials for secure payment APIs.","5320","getGlofoxSecureClientToken","External APIs Test Suite","2025-10-14","passed","2025-10-14","com.externalAPIs.tests.auth.Glofox_SecureClientTokenTests","Authentication and Merchant Flow","com.externalAPIs.tests.auth.Glofox_SecureClientTokenTests","getGlofoxSecureClientToken"
"Ensures that new bank payment tokens can be created successfully, returning a valid token ID for linking.","8646","createBankPaymentToken","External APIs Test Suite","2025-10-14","passed","2025-10-14","com.externalAPIs.tests.common.CreateBankPaymentTokenTests","Authentication and Merchant Flow","com.externalAPIs.tests.common.CreateBankPaymentTokenTests","createBankPaymentToken"
"Validates that a new payment processor can be created and response data is stored for dependent APIs.","5191","createProcessor","External APIs Test Suite","2025-10-14","passed","2025-10-14","com.externalAPIs.tests.common.CreateProcessorTests","Authentication and Merchant Flow","com.externalAPIs.tests.common.CreateProcessorTests","createProcessor"
"Verifies that a new client can be created successfully and all possible HTTP status codes are handled gracefully.","3980","createClient","External APIs Test Suite","2025-10-14","passed","2025-10-14","com.externalAPIs.tests.common.CreateClientTests","Authentication and Merchant Flow","com.externalAPIs.tests.common.CreateClientTests","createClient"
"Verifies that a company can be created successfully, including validation for all HTTP responses.","2003","createCompany","External APIs Test Suite","2025-10-14","passed","2025-10-14","com.externalAPIs.tests.common.CreateCompanyTests","Authentication and Merchant Flow","com.externalAPIs.tests.common.CreateCompanyTests","createCompany"
"Verifies that a new client can be created successfully and all possible HTTP status codes are handled gracefully.","1895","createClient","External APIs Test Suite","2025-10-14","passed","2025-10-14","com.externalAPIs.tests.common.CreateClientTests","Authentication and Merchant Flow","com.externalAPIs.tests.common.CreateClientTests","createClient"
"Ensures a client bank account can be linked to an existing client profile with full HTTP status coverage.","2505","createClientBankAccount","External APIs Test Suite","2025-10-14","passed","2025-10-14","com.externalAPIs.tests.common.CreateClientBankAccountTests","Authentication and Merchant Flow","com.externalAPIs.tests.common.CreateClientBankAccountTests","createClientBankAccount"
"Ensures that a client profile can be created successfully, including dynamic merchant, location, and organization references.","2680","createClientProfile","External APIs Test Suite","2025-10-14","passed","2025-10-14","com.externalAPIs.tests.common.CreateClientProfileTests","Authentication and Merchant Flow","com.externalAPIs.tests.common.CreateClientProfileTests","createClientProfile"
"Validates that an organization can be created successfully with valid input data and handles duplicates gracefully.","5539","createOrganization","External APIs Test Suite","2025-10-14","passed","2025-10-14","com.externalAPIs.tests.common.CreateOrganizationTests","Authentication and Merchant Flow","com.externalAPIs.tests.common.CreateOrganizationTests","createOrganization"
