"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 12 13:27:15 IST 2026","Thu Mar 12 13:27:17 IST 2026","2367","External APIs Test Suite","Authentication and Merchant Flow","com.externalAPIs.tests.common.CreateClientBankAccountTests","com.externalAPIs.tests.common.CreateClientBankAccountTests","createClientBankAccount","createClientBankAccount","Ensures a client bank account can be linked to an existing client profile with full HTTP status coverage."
"passed","Thu Mar 12 13:26:49 IST 2026","Thu Mar 12 13:26:51 IST 2026","1935","External APIs Test Suite","Authentication and Merchant Flow","com.externalAPIs.tests.auth.Glofox_ClientTokenTests","com.externalAPIs.tests.auth.Glofox_ClientTokenTests","getGlofoxClientToken","getGlofoxClientToken","Ensures Glofox OAuth token retrieval using Base64-encoded client credentials and validates token caching."
"passed","Thu Mar 12 13:26:57 IST 2026","Thu Mar 12 13:27:01 IST 2026","3629","External APIs Test Suite","Authentication and Merchant Flow","com.externalAPIs.tests.common.CreateOrganizationTests","com.externalAPIs.tests.common.CreateOrganizationTests","createOrganization","createOrganization","Validates that an organization can be created successfully with valid input data and handles duplicates gracefully."
"passed","Thu Mar 12 13:26:51 IST 2026","Thu Mar 12 13:26:53 IST 2026","1899","External APIs Test Suite","Authentication and Merchant Flow","com.externalAPIs.tests.auth.Glofox_SecureClientTokenTests","com.externalAPIs.tests.auth.Glofox_SecureClientTokenTests","getGlofoxSecureClientToken","getGlofoxSecureClientToken","Ensures Glofox Secure Client Token can be retrieved using Base64-encoded credentials for secure payment APIs."
"passed","Thu Mar 12 13:27:08 IST 2026","Thu Mar 12 13:27:10 IST 2026","2678","External APIs Test Suite","Authentication and Merchant Flow","com.externalAPIs.tests.common.CreateClientProfileTests","com.externalAPIs.tests.common.CreateClientProfileTests","createClientProfile","createClientProfile","Ensures that a client profile can be created successfully, including dynamic merchant, location, and organization references."
"passed","Thu Mar 12 13:27:10 IST 2026","Thu Mar 12 13:27:12 IST 2026","2150","External APIs Test Suite","Authentication and Merchant Flow","com.externalAPIs.tests.common.CreatePaymentSessionConsumerTests","com.externalAPIs.tests.common.CreatePaymentSessionConsumerTests","createPaymentSessionConsumer","createPaymentSessionConsumer","Validates creation of a payment session consumer and ensures response structure and status validation."
"passed","Thu Mar 12 13:27:25 IST 2026","Thu Mar 12 13:27:26 IST 2026","1898","External APIs Test Suite","Authentication and Merchant Flow","com.externalAPIs.tests.common.CreateTerminalTests","com.externalAPIs.tests.common.CreateTerminalTests","createTerminal","createTerminal","Validates creation of a new terminal with unique terminal number and linked processor details dynamically."
"passed","Thu Mar 12 13:27:28 IST 2026","Thu Mar 12 13:27:30 IST 2026","2007","External APIs Test Suite","Authentication and Merchant Flow","com.externalAPIs.tests.Charge.CreateAchPaymentChargeTests","com.externalAPIs.tests.Charge.CreateAchPaymentChargeTests","createAchPaymentCharge","createAchPaymentCharge","Ensures ACH payment charges can be successfully created, validated, and stored for reporting."
"passed","Thu Mar 12 13:26:47 IST 2026","Thu Mar 12 13:26:49 IST 2026","2501","External APIs Test Suite","Authentication and Merchant Flow","com.externalAPIs.tests.auth.Secure_TokenTests","com.externalAPIs.tests.auth.Secure_TokenTests","getSecureAuthToken","getSecureAuthToken","Ensures secure OAuth token can be fetched successfully with valid Base64-encoded credentials for downstream API authentication."
"failed","Thu Mar 12 13:27:30 IST 2026","Thu Mar 12 13:27:33 IST 2026","2879","External APIs Test Suite","Authentication and Merchant Flow","com.externalAPIs.tests.Charge.CreateRefundPaymentTests","com.externalAPIs.tests.Charge.CreateRefundPaymentTests","createRefundPayment","createRefundPayment","Ensures refunds are processed successfully by linking them to previous ACH charge transactions."
"passed","Thu Mar 12 13:26:55 IST 2026","Thu Mar 12 13:26:57 IST 2026","2101","External APIs Test Suite","Authentication and Merchant Flow","com.externalAPIs.tests.common.CreateClientTests","com.externalAPIs.tests.common.CreateClientTests","createClient","createClient","Verifies that a new client can be created successfully and all possible HTTP status codes are handled gracefully."
"passed","Thu Mar 12 13:26:42 IST 2026","Thu Mar 12 13:26:47 IST 2026","4605","External APIs Test Suite","Authentication and Merchant Flow","com.externalAPIs.tests.auth.Authorization_TokenTests","com.externalAPIs.tests.auth.Authorization_TokenTests","getAuthToken","getAuthToken","Ensures valid OAuth access token retrieval from the authorization server using Base64-encoded client credentials."
"passed","Thu Mar 12 13:27:12 IST 2026","Thu Mar 12 13:27:15 IST 2026","2177","External APIs Test Suite","Authentication and Merchant Flow","com.externalAPIs.tests.common.CreateBankPaymentTokenTests","com.externalAPIs.tests.common.CreateBankPaymentTokenTests","createBankPaymentToken","createBankPaymentToken","Ensures that new bank payment tokens can be created successfully, returning a valid token ID for linking."
"passed","Thu Mar 12 13:27:01 IST 2026","Thu Mar 12 13:27:03 IST 2026","2537","External APIs Test Suite","Authentication and Merchant Flow","com.externalAPIs.tests.common.CreateLocationTests","com.externalAPIs.tests.common.CreateLocationTests","createLocation","createLocation","Verifies that a new location can be created successfully, with full error handling for all HTTP status codes."
"passed","Thu Mar 12 13:27:26 IST 2026","Thu Mar 12 13:27:28 IST 2026","2023","External APIs Test Suite","Authentication and Merchant Flow","com.externalAPIs.tests.Charge.CreatePaymentTokenSessionTests","com.externalAPIs.tests.Charge.CreatePaymentTokenSessionTests","createPaymentTokenSession","createPaymentTokenSession","Validates creation of a consumer payment token session using Glofox Client Token and organization context."
"passed","Thu Mar 12 13:27:03 IST 2026","Thu Mar 12 13:27:05 IST 2026","2051","External APIs Test Suite","Authentication and Merchant Flow","com.externalAPIs.tests.common.CreateCompanyTests","com.externalAPIs.tests.common.CreateCompanyTests","createCompany","createCompany","Verifies that a company can be created successfully, including validation for all HTTP responses."
"passed","Thu Mar 12 13:27:06 IST 2026","Thu Mar 12 13:27:08 IST 2026","2010","External APIs Test Suite","Authentication and Merchant Flow","com.externalAPIs.tests.common.CreateMerchantTests","com.externalAPIs.tests.common.CreateMerchantTests","createMerchant","createMerchant","Verifies merchant creation flow, validates response schema and ensures data persistence for update APIs."
"passed","Thu Mar 12 13:27:17 IST 2026","Thu Mar 12 13:27:22 IST 2026","5516","External APIs Test Suite","Authentication and Merchant Flow","com.externalAPIs.tests.common.CreateProcessorTests","com.externalAPIs.tests.common.CreateProcessorTests","createProcessor","createProcessor","Validates that a new payment processor can be created and response data is stored for dependent APIs."
"passed","Thu Mar 12 13:26:53 IST 2026","Thu Mar 12 13:26:55 IST 2026","2071","External APIs Test Suite","Authentication and Merchant Flow","com.externalAPIs.tests.common.CreateClientTests","com.externalAPIs.tests.common.CreateClientTests","createClient","createClient","Verifies that a new client can be created successfully and all possible HTTP status codes are handled gracefully."
"passed","Thu Mar 12 13:27:22 IST 2026","Thu Mar 12 13:27:25 IST 2026","2074","External APIs Test Suite","Authentication and Merchant Flow","com.externalAPIs.tests.common.UpdateMerchantTests","com.externalAPIs.tests.common.UpdateMerchantTests","updateMerchant","updateMerchant","Validates updating merchant information and verifying that updated values persist correctly."
